,Artist,Song Title,Lyrics,Year,word_count
11,Truth Hurts Featuring Rakim,Addictive,planet wherever stand plus specialize freakin man put one pot lets see pan stick ya hand got planned layin way set date wed plus got head queen lookin like lady revlon red fiending till arms king put silk bedspread rose pedals scent candle lit victoria secret set rough sex turnin ghetto innocent scandalous bling fur million dollar habit said fetish gotta get holla thats keep waters rapid hotter automatic oh shit odn got addict breaks builds fills cup like rough fuss brawl rise fall comes late okay knows rules takes care home though alone team keeps clean gives things makes scream contagious returns pages got anxious waited keeps guessing spontaneous persuasive lady oh tonight waitin complainin entertainin number one fan back achin love makin oh yes taken use fakin ups downs high lows head toe makes glow hits spot makes hot got got thinking master plan know anything need baby ask man half gram kilos cnotes high fashion brands ball like world concern girl speakin tongues breathing hard squeezing lungs keep strong gotta hit streets done joy pain tryin get ahead game fucked never complain pray get killed hit hood another hundred mill amma quit good drug wars trips jail shootouts gettin loot lawyers bail get boot high sex twisted og would od addicted,2002.0,214
13,Tweet,Oops (Oh My),tell last night came home say around quarter three still high hypnotized trance body buttery brown tantalizing woulda thought needed help feeling felt shook catch breath oops goes shirt head oh oops goes skirt dropping feet oh ooh kinda touch caressing legs oh ooh turning red could tried tried avoid thing happening swallowed pride let ride partied body felt like mine got worried looked left reflection could catch breath oops goes shirt head oh oops goes skirt dropping feet oh ooh kinda touch caressing legs oh ooh turning red could looked left umm looking good could reject looked left umm feeling good touch looked left umm eyeing thighs butter pecan brown looked left umm coming outta shirt skirt came,2002.0,119
16,Usher,U Got It Bad,feel body found somebody makes change ways like hanging crew said act like ready really know everything past want let go done fucked around found nobody wants alone touched words song maybe got got bad phone hang call right back got got bad miss day without friend whole life offtrack know know got bad stuck house want fun think got bad someone keep thinking bout somebody else got bad say love really know everything used matter matter like money cars back flowers cards candy cause said fortunate girl want know really adore people know going look mate help sing song tell man girl going tell whole wide world ladies say girl man promise love best see done fucked around found everyone yall like bad see got bad got got bad phone hang call right back got got bad miss day without friend whole life track know know got bad stuck house want fun think got bad someone keep thinking bout somebody else got bad got got bad phone hang call right back got got bad miss day without friend whole life track know know got bad stuck house want fun think got bad someone keep thinking bout somebody else,2002.0,199
17,Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part II,shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want act fool better watch hot shit bringin cops street niggas ringin shots short circuit blacken blocks open garage pull drops rockin fur coat bringin blue fox diamonds light block runnin blue rocks whylin till crew knocks get yo ass floor huh throw ya hands wa baby wiggle crotch huh peep way blowin spots c amon look got em ready act girl ready give twistin back drink yack till nigga fallin flat back watch nigga crawlin talk said busta whassup son leave girls rolling look like c amon asses swollen ass gettin big man babysittin uhhuh gon say gon tell em man gon tell nigga pass courvoisier gon tell brotha pass courvoisier everybody sing pass courvoisier everybody sing pass courvoisier girl need shake much hair chocha shave c amon jump smack yo ass break hot yall need take case knowin niggas roll diddy like done stumbled pot gold c amon food spillin bowl huh money thick get harder fold c amon ladies tell feelin alright sure doin night like listen ass bet nigga wreck shit even blacked yet niggas around police rapidly shut block club even packed yet c amon nuff drinkin bar hold whylin notil club closed talk said busta whassup son leave girl rollin look like c amon asses swollen ass gettin big man babysittin uhhuh gon say gon tell em man gon tell nigga pass courvoisier gon tell brotha pass courvoisier everybody sing pass courvoisier everybody sing pass courvoisier jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want rob bank nigga cash rule bust let get money act like damn fool fuck act stupid jump damn pool huh bone bitches man cool c amon shit sayin put bank nigga put diddy together bankrupt c amon fly niggas full finesse yall yeah niggas fittin bless yall c amon talk shut live niggas come around c amon rep fullest huh niggas knowin gon put c amon cock aim shoot spray steamrollin niggas lay niggas frontin thug image pay mind drink bottle finished talk said busta whassup son leave girl rollin look like c amonn asses swollen ass gettin big man babysittin uhhuh gon say gon tell em man gon tell nigga pass courvoisier gon tell brotha pass courvoisier everybody sing pass courvoisier everybody sing pass courvoisier jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want jump jump shit make nigga want said busta whassup son leave girl rollin look like c amon asses swollen ass gettin big man babysittin uhhuh gon say gon tell em man gon tell nigga pass courvoisier gon tell brotha pass courvoisier everybody sing pass courvoisier everybody sing pass courvoisier,2002.0,558
19,Big Tymers,Still Fly,fresh turn baby gator boots pimped gucci suits gucci suits got job eh eh eh eh stay sharp stay sharp pay rent pay rent money spent okaybecause still fly fly get cuhcuhcar playa gems gon shine tell momma get mink baby girl let ride right number one stunna gon glide go straight mall tear inside prada gucci fullmink leather leather burberry cool coogi sweater sweater twenty inches pop feather birdman daddy fly weather alligator seats head inside swine dash gwagon fly number one tangle twist come cars nigga guhguhgucci matching interior threewheel ride tire middle fresh stunna like brothers shine like paint daddy summer gator boots pimped gucci suits got job stay sharp hohohood rich stay sharp pay rentbecause money spent okaybecause still fly hohohood rich got quarter tank gas new e class alrightbecause gon ride hohohood rich got everything momma name hood rich ladadida dadadada ever seen crocodile seats truck turn around sit let em bite butt see steering wheel fendi dashboard armani baby momma player find cruising parking lot twentyfours cadillac escalade chromedout nose navigation arrow headed straight spot turn left wife really love cause sex hot put caddy start 3wheel benz skrtt hyper white lights ultraviolet lens sumatuma tires gotta run flat tv horn go uh uh boy top going show shit rookie press button trunk went uhuh sudden four 15 see wires heard boom amplifier gator boots pimped gucci suits got job stay sharp hohohood rich stay sharp pay rent cause money spent okay cause still fly hohohood rich got quarter tank gas new e class alright cause gon ride hohohood rich got everything momma name hood rich ladadida dadadada let slide benz fished fins impala loud pipes drinking henn birdiebirdie man cadillac truck twentyfours tens looking gucci time six bad broads flying nine new suburban truck porno showing going bodies roadster lexus know hardtop beamer yo truck coming hood lovely new shoes whip wake bubbly 430 lex convertible top rims keeps spinning every time stop got superman benz scored shaq old school caddy diamond back gator boots pimped gucci suits got job stay sharp stay sharp pay rent cause money spent okay cause still fly,2002.0,360
20,KeKe Wyatt Featuring Avant,Nothing In This World,ooh yeah ooh yeah yeah picture us living room mantle piece tellin lovin hands thighs starin brown eyes expression face tellin want taste tonight goin way lovin till break day nothin world would boy care others say got babe one bring joy like girl little things boo picture us runnin rain movie spark flame oh love scream name going 60 3rd lane pull parkin lot park favorite spot anything goin til birds sing think bout time make mine oh saying boy come break find another like lifetime think see going baby let let listen baby got something say really think take day forever want give say baby,2002.0,107
21,Ruff Endz,Someone To Love You,picture read mind tell everything going baby tried find reasons alone acting cold tell long way maybe open heart see waiting life someone like know waiting someone love need someone cares someone love someone always need say want girl know waited long someone love baby wish could every time ever shed tear baby hate see pretty girl like going things girl think gone far long without good man make smile appeal make understand ready someone love baby waiting man fairy tales maybe man dreams try think reality lets talk possibilities cause girl know waited long someone love need someone repeat,2002.0,100
22,Aaliyah,I Care 4 U,mm yeah oh yeah oh hey baby looking seems like need loving baby need girl like around hey baby tell cry take hand yeah mm wipe tears eyes talk comfort let know care talk comfort let know care hey sexy baby would girl leave pain let fine man like go must insane hey sexy baby need worry oh boy call come come hurry talk comfort let know care talk comfort let know care hold hold stay strong stay strong press baby care care hold hold stay strong stay strong press baby care care talk want talk comfort want hold tight baby let know want let know care care talk,2002.0,109
23,LL Cool J,Luv U Better,number one number one number one true baby adore hard say want make sure go right way lately busy lot know feel appreciated used tell hair looked fly kiss slow stare eyes talk real foul slick every sentence make sick back days number one pick heart halfbroken hard fix dig deep inside see bouncing somebody else long journey back place embarrassed admit love good girl would give let us selfdestruct baby smile today imagining ways gon love u better friends see think nothing else gon love u better think things think kids think us sharing crib losing god forbid deserve flowers candy simple things addition sl baguettes rings instead walk around like king nothing thing even stopped telling loving good busy fronting hood baby girl hold tight ever let go amma real gentle baby nice slow one chance baby say got another side show say love painful helps grow well time pain go yaknow baby smile today imagining ways gon love u better friends see think nothing else gon love u better think meant hurt think meant hurt let laugh together cry together god willing gon die together think meant hurt think meant hurt let laugh together cry together god willing gon die together brand new brand new brand new day sky blue hold hand walk sit lap lemme talk games calling foul names acting like females gon love better mentality changed day forward never amma rub lower back share dreams love lemme show mean give deepest love girl ever seen watch sleep peaceful serene toast queen back life time amma right trust bottom heart nothin going tear us apart promise baby smile today imagining ways gon love u better friends see think nothing else gon love u better baby smile today imagining ways gon love u better friends see think nothing else gon love u better think meant hurt think meant hurt let laugh together cry together god willing gon die together think meant hurt think meant hurt let laugh together cry together god willing gon die together number one number one true baby adore,2002.0,346
24,Aaliyah,Rock The Boat,mhmm yeah mhmm huh uh huh uh ooh yeah boy know make float boy really get high ooh feel like dopebecause serve regular serve regular boy gotta stroke ooh drifting deeper drifting deeper baby hold close let take overboard want rock boat rock boat mhm rock boat rock boat work middle work middle work middle work middle change positions new positions new positions ooh new positions stroke baby stroke stroke stroke stroke ooh baby love strokebecause youbecause get going cause get going jury get vote cause believe mm believe know baby coast let coast let coast please get hurry oh slow hey go ahead put thing overdrive want rock boat rock boat ooh hey rock boat rock boat work middle work middle work babe work babe work middle work middle change positions new positions new positions ooh new positions stroke baby stroke stroke stroke stroke want rock boat rock boat rock boat rock boat hey work middle work middle work middle ooh work middle hey change positions new positions new positions ooh new positions stroke baby stroke yeah stroke stroke stroke mm stroke baby stroke baby mm work baby work baby ooh stroke something want want use hey like never ever used never explore body explore baby reach shore yeah calling calling calling rock boat rock boat ooh rock boat rock boat work middle work middle ooh work baby work baby work middle work middle change positions new positions mm change new positions new positions hey stroke baby stroke stroke stroke want rock boat rock boat ooh rock boat ooh rock boat work middle work middle oh work baby work middle work middle change positions new positions change new positions new positions stroke yeah stroke stroke stroke rock boat rock boat rock boat rock boat work middle work middle work middle work middle change positions new positions new positions new positions stroke stroke stroke stroke rock boat rock boat rock boat rock boat,2002.0,323
