,Album,Album URL,Artist,Featured Artists,Lyrics,Media,Rank,Release Date,Song Title,Song URL,Writers,Year
55,Wolfgang Amadeus Phoenix,https://genius.com/albums/Phoenix/Wolfgang-amadeus-phoenix,Phoenix,[],"[Verse 1] Counting all different ideas drifting away Past and present, they don't matter, now the future's sorted out Watch her moving in elliptical patterns Think it's not what you say, what you say is way too complicated For a minute, thought I couldn't tell how to fall out  [Chorus] It's twenty seconds 'til the last call You're going, ""Hey, hey, hey, hey, hey, hey"" Lie down, you know it's easy Like we did it over summer long And I'll be anything you ask and more Going, ""Hey, hey, hey, hey, hey, hey, hey"" It's not a miracle we needed And no, I wouldn't let you think so Fallin', Fallin' Fallin', Fallin'  [Verse 2] Girlfriend, oh, your girlfriend is drifting away Past and present, 1855-1901 Watch them built up a material tower Think it's not going to stay anyway, think it's overrated For a minute, thought I couldn't tell how to fall out  [Chorus] It's twenty seconds 'til the last call You're going, ""Hey, hey, hey, hey, hey, hey"" Lie down, you know it's easy Like we did it over summer long And I'll be anything you ask and more Going, ""Hey, hey, hey, hey, hey, hey, hey"" It's not a miracle we needed No, I wouldn't let you think so Fallin', fallin', fallin', fallin'  [Outro] Fallin', fallin', fallin', fallin' Fallin', fallin', fallin', fallin' Fallin', fallin', fallin', fallin'","[{'native_uri': 'spotify:track:5JtPGzRgrWxkXX9LoROq3d', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/5JtPGzRgrWxkXX9LoROq3d'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=HL548cHH3OY'}]",6,2009-05-25,1901,https://genius.com/Phoenix-1901-lyrics,[],2010.0
56,Raditude,https://genius.com/albums/Weezer/Raditude,Weezer,[],"The moon was shining on the lake at night The Slayer T-shirt fit the scene just right Through smeared mascara I looked into your eyes and saw a light  You told me stories about your chickadees They didn’t like BB guns or stupid archery You charmed the lifeguard He let them use the pool all day for free  Then the conversation stopped And I looked down at my feet I was next to you and you were right there next to me Then I said  [Hook] Girl, if you’re wondering if I want you to (I want you to) I want you to So make the move (make the move) Cause I ain’t got all night  The rest of the summer was the best we’ve ever had We watched Titanic and it didn’t make us sad I took you to Best Buy You took me home to meet your mom and dad  Your mom cooked meat loaf, even though I don’t eat meat I dug you so much, I took some for the team Your dad was silent His eyes were fixed to what was on TV  Then the conversation stopped, and I looked down at the ring Your folks were next to you And you were right there next to me And I said  Girl, if you're wondering if I want you to (I want you to) I want you to I swear it's true Without you, my heart is blue  [Bridge] So much pain may come our way There may come a day when we have nothing left to say When the conversation stops and we’re facing our defeat I’ll be next to you and you’ll be right there next to me Then I’ll say  [Hook]","[{'native_uri': 'spotify:track:09aDV0TC2RfWFU5IwZfIdG', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/09aDV0TC2RfWFU5IwZfIdG'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=Vacp7FAUPUg'}]",7,2009-08-18,(If You're Wondering If I Want You To) I Want You To,https://genius.com/Weezer-if-youre-wondering-if-i-want-you-to-i-want-you-to-lyrics,"[{'api_path': '/artists/37229', 'header_image_url': 'https://images.genius.com/9308ebe193640657caf5c9b8363808be.1000x1000x1.jpg', 'id': 37229, 'image_url': 'https://images.genius.com/9308ebe193640657caf5c9b8363808be.1000x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Butch Walker', 'url': 'https://genius.com/artists/Butch-walker'}, {'api_path': '/artists/630', 'header_image_url': 'https://images.genius.com/aa20fb6f7d5b1f293f886a7bf68496f9.1000x384x1.png', 'id': 630, 'image_url': 'https://images.genius.com/be905572c6b6d6b34616ba7d1d66c747.549x549x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Rivers Cuomo', 'url': 'https://genius.com/artists/Rivers-cuomo', 'iq': 20120}]",2010.0
57,Black Gives Way to Blue,https://genius.com/albums/Alice-in-chains/Black-gives-way-to-blue,Alice In Chains,[],"[Verse 1] Time to change has come and gone Watched your fears become your God It's your decision It's your decision Overwhelmed, you chose to run Apathetic to the stunned It's your decision It's your decision  [Chorus] You feed the fire that burned us all When you lie To feel the pain that spurs you on Black inside No one plans to take the path that brings you lower And here you stand before us all and say ""It's over, It's over""  [Guitar Solo]  [Verse 2] It might seem an afterthought Yes, it hurts to you know you're bought It's your decision It's your decision  [Chorus] You feed the fire that burned us all When you lie To feel the pain that spurs you on Black inside It's your decision It's your decision  [Outro] No one plans to take the path that brings you lower And here you stand before us all and say ""It's over, it's over"" ""It's over""","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=2D37POA11KY'}]",8,2009-11-16,Your Decision,https://genius.com/Alice-in-chains-your-decision-lyrics,"[{'api_path': '/artists/159296', 'header_image_url': 'https://images.genius.com/9fb6ddbee1cbca31c50779a09671b9ca.815x1000x1.jpg', 'id': 159296, 'image_url': 'https://images.genius.com/9fb6ddbee1cbca31c50779a09671b9ca.815x1000x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jerry Cantrell', 'url': 'https://genius.com/artists/Jerry-cantrell'}]",2010.0
58,Life Starts Now,https://genius.com/albums/Three-days-grace/Life-starts-now,Three Days Grace,[],"[Verse 1] The good life is What I need Too many people Stepping over me The only thing that's Been on my mind Is the one thing I need before I die  [Chorus 1] All I want is a little of The good life All I need is to have A good time Oh oh oh The good life All I want is a little of The good life All I need is to have A good time Oh oh oh The good life The good life  [Verse 2] I don't really know Who I am It's time for me To take a stand I need a change And I need it fast I know that any day Could be the last  [Chorus 1] All I want is a little of The good life All I need is to have A good time Oh oh oh The good life All I want is a little of The good life All I need is to have A good time Oh oh oh The good life  [Verse 3] Hold on, hold on I always wanted it this way I never wanted it this way Hold on, hold on I always wanted it this way We didn't ask for it this way I always wanted this way The good life  [Chorus 1] All I want is a little of The good life All I need is to have A good time Oh oh oh The good life All I want is a little of The good life All I need is to have A good time Oh oh oh The good life Huh The good life","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=tzRk5EIHAoI'}]",9,2009-09-22,The Good Life,https://genius.com/Three-days-grace-the-good-life-lyrics,"[{'api_path': '/artists/73434', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 73434, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Neil Sanderson', 'url': 'https://genius.com/artists/Neil-sanderson'}, {'api_path': '/artists/73435', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 73435, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brad Walst', 'url': 'https://genius.com/artists/Brad-walst'}, {'api_path': '/artists/72936', 'header_image_url': 'https://images.genius.com/759d18208acf32314d9a993ba863cd7d.1000x154x1.jpg', 'id': 72936, 'image_url': 'https://images.genius.com/d2ecad6c7a788e14a17a5bc026cd89be.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Adam Gontier', 'url': 'https://genius.com/artists/Adam-gontier', 'iq': 114}, {'api_path': '/artists/73436', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 73436, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Barry Stock', 'url': 'https://genius.com/artists/Barry-stock'}]",2010.0
59,Wolfgang Amadeus Phoenix,https://genius.com/albums/Phoenix/Wolfgang-amadeus-phoenix,Phoenix,[],"[Verse 1] So sentimental Not sentimental, no Romantic, not disgusting yet Darling, I'm down and lonely When with the fortunate only I've been looking for something else Do let, do let, do let Jugulate, do let, do Let's go slowly, discouraged Distant from other interests On your favorite weekend ending This love's for gentlemen only That's with the fortunate only No, I gotta be someone else These days, it comes, it comes, it comes It comes, it comes and goes  [Chorus] Lisztomania Think less but see it grow Like a riot, like a riot, oh Not easily offended Not hard to let it go From a mess to the masses  Lisztomania Think less but see it grow Like a riot, like a riot, oh Not easily offended Not hard to let it go From a mess to the masses  [Verse 2] Follow, misguide, stand still Disgust, discourage On this precious weekend ending This love's for gentlemen only Wealthiest gentlemen only And now that you're lonely Do let, do let, do let Jugulate, do let, do Let's go slowly, discouraged We'll burn the pictures instead When it's all over, we can barely discuss For one minute only Not with the fortunate only Thought it could have been something else These days, it comes, it comes, it comes It comes, it comes and goes  [Chorus] Lisztomania Think less but see it grow Like a riot, like a riot, oh Not easily offended Know how to let it go From a mess to the masses  Lisztomania Think less but see it grow Like a riot, like a riot, oh Not easily offended Know how to let it go From a mess to the masses  [Bridge] Ooh, this is showtime, this is showtime, this is showtime Ooh, this is showtime, this is showtime, this is showtime Time, time to show it off, time to show it off It's time to show it off Time, time to show it off, time to show it off It's time to show it off  [Chorus] It's time to show it off From the mess to the masses Lisztomania Think less, but see it grow Like a riot, like a riot, oh Disgust, disgust, disgust, discouraged","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=4BJDNw7o6so'}, {'native_uri': 'spotify:track:6ZrlXT6mUMEgomN128iekU', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/6ZrlXT6mUMEgomN128iekU'}]",10,2009-05-25,Lisztomania,https://genius.com/Phoenix-lisztomania-lyrics,"[{'api_path': '/artists/1126739', 'header_image_url': 'https://images.genius.com/bfcfe4f0374053f2dacea868282e83c7.1000x600x1.jpg', 'id': 1126739, 'image_url': 'https://images.genius.com/03a8f935f1f75e9a8628e27374856c72.819x819x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': ""Deck d'Arcy"", 'url': 'https://genius.com/artists/Deck-darcy'}, {'api_path': '/artists/1126740', 'header_image_url': 'https://images.genius.com/1ebc7e66056d40d75b99eeab6b405699.1000x667x1.jpg', 'id': 1126740, 'image_url': 'https://images.genius.com/26a19f56eaae652bcd67acdf43ef7800.819x819x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Laurent Brancowitz', 'url': 'https://genius.com/artists/Laurent-brancowitz'}, {'api_path': '/artists/1126741', 'header_image_url': 'https://images.genius.com/61a709fe52dc2162c8663f87bb15c6f8.1000x683x1.jpg', 'id': 1126741, 'image_url': 'https://images.genius.com/2db18cfd7bc8b8400996066f34b51298.819x819x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Christian Mazzalai', 'url': 'https://genius.com/artists/Christian-mazzalai'}, {'api_path': '/artists/81599', 'header_image_url': 'https://images.genius.com/f09a3f9f131db19e75990564514e86cb.667x1000x1.jpg', 'id': 81599, 'image_url': 'https://images.genius.com/2829368179ceaf424926ca8a2fb383a6.819x819x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Thomas Mars', 'url': 'https://genius.com/artists/Thomas-mars'}]",2010.0
60,The Resistance,https://genius.com/albums/Muse/The-resistance,Muse,[],"[Verse 1] Is our secret safe tonight? And are we out of sight? Or will our world come tumbling down? Will they find our hiding place? Is this our last embrace? Or will the walls start caving in?  [Hook] It could be wrong, could be wrong, but it should have been right It could be wrong, could be wrong, to let our hearts ignite It could be wrong, could be wrong, are we digging a hole? It could be wrong, could be wrong, this is out of control  It could be wrong, could be wrong, it can never last It could be wrong, could be wrong, must erase it fast It could be wrong, could be wrong, but it could have been right It could be wrong could be....  [Chorus] Love is our resistance They'll keep us apart and they won't stop breaking us down Hold me Our lips must always be sealed  [Verse 2] If we live a life in fear I'll wait a thousand years Just to see you smile again Kill your prayers for love and peace You'll wake the thought police We can't hide the truth inside  [Hook] It could be wrong, could be wrong, but it should have been right It could be wrong, could be wrong, to let our hearts ignite It could be wrong, could be wrong, are we digging a hole? It could be wrong, could be wrong, this is out of control  It could be wrong, could be wrong, it can never last It could be wrong, could be wrong, must erase it fast It could be wrong, could be wrong, but it could have been right It could be wrong could be....  [Chorus] Love is our resistance They'll keep us apart and they won't stop breaking us down Hold me Our lips must always be sealed  [Outro] The night has reached its end We can't pretend We must run We must run It's time to run Take us away from here Protect us from further harm Resistance","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=TPE9uSFFxrI'}]",11,2010-02-22,Resistance,https://genius.com/Muse-resistance-lyrics,"[{'api_path': '/artists/540935', 'header_image_url': 'https://images.genius.com/2eb33095f57032a1446ae119a969397e.1000x640x1.jpg', 'id': 540935, 'image_url': 'https://images.genius.com/2ecc774d210ed870d9f64fb0281224c2.683x683x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Matthew Bellamy', 'url': 'https://genius.com/artists/Matthew-bellamy'}]",2010.0
61,Habits,https://genius.com/albums/Neon-trees/Habits,Neon Trees,[],"[Verse 1] Here we go again I kinda wanna be more than friends So take it easy on me I'm afraid you're never satisfied Here we go again We're sick like animals We play pretend You're just a cannibal And I'm afraid I won't get out alive No, I won't sleep tonight  [Chorus] Oh, oh I want some more Oh, oh What are you waiting for Take a bite of my heart tonight Oh, oh I want some more Oh, oh What are you waiting for What are you waiting for Say goodbye to my heart tonight  [Verse 2] Here we are again I feel the chemicals kickin' in It's getting heavy And I wanna run and hide I wanna run and hide I do it every time You're killin' me now And I won't be denied by you The animal inside of you  [Chorus] Oh, oh I want some more Oh, oh What are you waiting for Take a bite of my heart tonight Oh, oh I want some more Oh, oh What are you waiting for What are you waiting for Say goodbye to my heart tonight  [Bridge] Hush, hush the world is quiet Hush, hush we both can't fight it It's us that made this mess Why can't you understand? Whoa, I won't sleep tonight  Here we go again Here we go again Here we go again  Oh oh I want some more Oh oh What are you waiting for Take a bite of my heart tonight Oh oh I want some more Oh oh What are you waiting for What are you waiting for What are you waiting  Here we go again Here we go again Here we go again Say goodbye to my heart tonight  Oh oh I want some more Oh oh What are you waiting for What are you waiting for Say goodbye to my heart tonight","[{'native_uri': 'spotify:track:1fBl642IhJOE5U319Gy2Go', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go'}, {'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=gM7Hlg75Mlo'}]",12,2010-03-16,Animal,https://genius.com/Neon-trees-animal-lyrics,"[{'api_path': '/artists/55090', 'header_image_url': 'https://images.genius.com/c24926a5d2515496830586d32d972852.512x512x1.jpg', 'id': 55090, 'image_url': 'https://images.genius.com/c24926a5d2515496830586d32d972852.512x512x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Tim Pagnotta', 'url': 'https://genius.com/artists/Tim-pagnotta'}, {'api_path': '/artists/322820', 'header_image_url': 'https://images.genius.com/5389908cc2af87f2b10f9d4cbdcb3175.160x160x1.jpg', 'id': 322820, 'image_url': 'https://images.genius.com/5389908cc2af87f2b10f9d4cbdcb3175.160x160x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Tyler Glenn', 'url': 'https://genius.com/artists/Tyler-glenn'}, {'api_path': '/artists/670109', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 670109, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Elaine Bradley', 'url': 'https://genius.com/artists/Elaine-bradley'}, {'api_path': '/artists/670110', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 670110, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Branden Campbell', 'url': 'https://genius.com/artists/Branden-campbell'}, {'api_path': '/artists/272223', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 272223, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Chris Allen', 'url': 'https://genius.com/artists/Chris-allen'}]",2010.0
62,The Sound of Madness,https://genius.com/albums/Shinedown/The-sound-of-madness,Shinedown,[],"[Verse 1] If you only knew I'm hanging by a thread, the web I spin for you If you only knew I'd sacrifice my beating heart before I'd lose you I still hold onto the letters You returned, I swear I've lived and learned  [Chorus] It's 4:03 and I can't sleep Without you next to me I toss and turn like the sea If I drown tonight, bring me back to life Breathe your breath in me The only thing that I still believe in is you If you only knew  [Verse 2] If you only knew How many times I counted all the words that went wrong If you only knew How I refuse to let you go even when you're gone I don't regret any days I spent Nights we shared, or letters that I sent  [Chorus] It's 4:03 and I can't sleep Without you next to me I toss and turn like the sea If I drown tonight, bring me back to life Breathe your breath in me The only thing that I still believe in is you If you only knew If you only knew  [Bridge] I still hold onto the letters You returned, you helped me live and learn  [Chorus] It's 4:03 and I can't sleep Without you next to me I toss and turn like the sea If I drown tonight, bring me back to life Breathe your breath in me The only thing that I still...  [Outro] Believe in is you Believe in is you I still believe in you If you only knew","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=xY0HCKOmrW0'}]",13,2008-06-24,If You Only Knew,https://genius.com/Shinedown-if-you-only-knew-lyrics,"[{'api_path': '/artists/616113', 'header_image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'id': 616113, 'image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dave Bassett', 'url': 'https://genius.com/artists/Dave-bassett'}, {'api_path': '/artists/351336', 'header_image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'id': 351336, 'image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brent Smith', 'url': 'https://genius.com/artists/Brent-smith'}]",2010.0
63,The Sound of Madness,https://genius.com/albums/Shinedown/The-sound-of-madness,Shinedown,[],"[Verse 1] I painted your room at midnight So I'd know yesterday was over I put all your books on the top shelf Even the one with the four leaf clover Man, I'm getting older  [Verse 2] I took all your pictures off the wall And wrapped them in a newspaper blanket I haven't slept in what seems like a century And now I can barely breathe  [Chorus] Just like a crow chasing the butterfly Dandelions lost in the summer sky When you and I were getting high as outer space I never thought you'd slip away I guess I was just a little too late  [Verse 3] Your words still serenade me Your lullabies won't let me sleep I've never heard such a haunting melody Oh, it's killing me You know I can barely breathe  [Chorus] Just like a crow chasing the butterfly Dandelions lost in the summer sky When you and I were getting high as outer space I never thought you'd slip away I guess I was just a little too late  [Interlude]  [Chorus] Just like a crow chasing the butterfly Dandelions lost in the summer sky When you and I were getting high as outer space I never thought you'd slip away  [Chorus] Like a crow chasing the butterfly Dandelions lost in the summer sky When you and I were getting high as outer space I never thought you'd slip away I guess I was just a little too late  [Outro] Just a little too late","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=1B89Osfj8dg'}]",14,2008-06-24,The Crow & The Butterfly,https://genius.com/Shinedown-the-crow-and-the-butterfly-lyrics,"[{'api_path': '/artists/616113', 'header_image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'id': 616113, 'image_url': 'https://images.genius.com/19d9502bcfa01282218d0183d48d2275.402x402x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dave Bassett', 'url': 'https://genius.com/artists/Dave-bassett'}, {'api_path': '/artists/351336', 'header_image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'id': 351336, 'image_url': 'https://images.genius.com/e25afe8693b89a8ab32022714939d063.370x370x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brent Smith', 'url': 'https://genius.com/artists/Brent-smith'}]",2010.0
64,Nightmare,https://genius.com/albums/Avenged-sevenfold/Nightmare,Avenged Sevenfold,[],"[Intro] NIGHTMARE! Now your nightmare comes to life  [Verse 1] Dragged ya down below down to the devil's show To be his guest forever (Peace of mind is less than never) Hate to twist your mind, but God ain't on your side An old acquaintance severed (Burn the world your last endeavor) Flesh is burning, you can smell it in the air Because men like you have such an easy soul to steal (steal) So stand in line while they ink numbers in your head You're now a slave until the end of time here Nothing stops the madness turning, haunting, yearning pull the trigger  [Chorus] You should have known the price of evil And it hurts to know that you belong here, yeah Oooooooh, it's your fucking nightmare While your nightmare comes to life  [Verse 2] Can't wake up in sweat, `cause it ain't over yet Still dancing with your demons (Victim of your own creation) Beyond the will to fight, where all that's wrong is right Where hate don't need a reason (Loathing self-assassination) You've been lied to just to rape you of your sight And now they have the nerve to tell you how to feel (feel) So sedated as they medicate your brain And while you slowly go insane they tell you: ""Given with the best intentions, help you with your complications""  [Chorus 2] You should have known the price of evil And it hurts to know that you belong here, yeah No one to call, everybody to fear Your tragic fate is looking so clear, yeah Oooooooh, it's your fucking nightmare HA! HA! HA! HA!  [Guitar Solo]  [Verse 3] (Maniacal laughter) Fight (Fight!), not to fail (fail!), not to fall (fall!) Or you'll end up like the others Die (Die!), die again (die!), drenched in sin (sin!) With no respect for another OH! Down(Down!), feel the fire(fire!), feel the hate(hate!) Your pain is what we desire Lost (Lost!), hit the wall (wall!), watch you crawl (crawl!) Such a replaceable liar  [Bridge] And I know you hear their voices (Calling from above) And I know they may seem real (These signals of love) But our life's made up of choices (Some without appeal) They took for granted your soul And it's ours now to steal As your nightmare comes to life  [Chorus 2] You should have known the price of evil And it hurts to know that you belong here, yeah No one to call, everybody to fear Your tragic fate is looking so clear, yeah Oooooooh, it's your fucking nightmare","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=94bGzWyHbu0'}, {'native_uri': 'spotify:track:4UEo1b0wWrtHMC8bVqPiH8', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/4UEo1b0wWrtHMC8bVqPiH8'}]",15,2010-05-18,Nightmare,https://genius.com/Avenged-sevenfold-nightmare-lyrics,"[{'api_path': '/artists/1020528', 'header_image_url': 'https://images.genius.com/cf08b114156f433efc4eaca0faf4b020.236x328x1.jpg', 'id': 1020528, 'image_url': 'https://images.genius.com/32e1e449d7ff51874fc80435c170b3ad.235x235x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Zacky Vengeance', 'url': 'https://genius.com/artists/Zacky-vengeance'}, {'api_path': '/artists/25908', 'header_image_url': 'https://images.genius.com/ac243ce9d28f1a9fcd3ccba333e36058.640x360x1.jpg', 'id': 25908, 'image_url': 'https://images.genius.com/359f47aa83f9680531c1419a796143c0.650x650x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'M. Shadows', 'url': 'https://genius.com/artists/M-shadows'}, {'api_path': '/artists/1020529', 'header_image_url': 'https://images.genius.com/d2bd9a94d9b97394333e33c303f9b898.1000x728x1.jpg', 'id': 1020529, 'image_url': 'https://images.genius.com/fce35f8f7ac43d553cb685c08743ea7a.472x472x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Johnny Christ', 'url': 'https://genius.com/artists/Johnny-christ'}, {'api_path': '/artists/25909', 'header_image_url': 'https://images.genius.com/0f510caf65920a350d3f9ca453813c20.500x635x1.jpg', 'id': 25909, 'image_url': 'https://images.genius.com/bd1403f37ae2ae84fb53664b3282b2cc.500x500x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Synyster Gates', 'url': 'https://genius.com/artists/Synyster-gates'}]",2010.0
65,This is War,https://genius.com/albums/Thirty-seconds-to-mars/This-is-war,Thirty Seconds To Mars,[],"[Intro] Ooh, ooh, ooh Ooh, ooh, ooh Ooh, ooh, ooh Ooh, ooh, ooh  [Verse 1] Into the night Desperate and broken The sound of a fight Father has spoken  [Chorus] We were the kings and queens of promise We were the victims of ourselves Maybe the children of a lesser God Between heaven and hell Heaven and hell  [Verse 2] Into your eyes Hopeless and taken We stole our new lives Through blood and name In defense of our dreams In defense of our dreams  [Chorus] We were the kings and queens of promise We were the victims of ourselves Maybe the children of a lesser God Between heaven and hell Heaven and hell  [Bridge] The age of man is over A darkness comes at dawn These lessons that we’ve learned here Have only just begun  [Chorus] We were the kings and queens of promise We were the victims of ourselves Maybe the children of a lesser God Between heaven and hell  [Outro] We are the kings We are the queens We are the kings We are the queens","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=hTMrlHHVx8A'}, {'native_uri': 'spotify:track:4sjLcE0GQ6urc4iUXsUPe9', 'provider': 'spotify', 'type': 'audio', 'url': 'https://open.spotify.com/track/4sjLcE0GQ6urc4iUXsUPe9'}]",16,2009-12-04,Kings And Queens,https://genius.com/Thirty-seconds-to-mars-kings-and-queens-lyrics,"[{'api_path': '/artists/670096', 'header_image_url': 'https://images.genius.com/6e4372060963b1f0f327681e65934d67.1000x999x1.jpg', 'id': 670096, 'image_url': 'https://images.genius.com/ada443c8387f42ace6f3e977bae41fe8.576x576x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Jared Leto', 'url': 'https://genius.com/artists/Jared-leto'}]",2010.0
66,Asylum ,https://genius.com/albums/Disturbed/Asylum,Disturbed,[],"[Verse 1] The indulgence of our lives has cast a shadow on our world Our devotion to our appetites betrayed us all An apocalyptic plight More destruction will unfold Mother Earth will show her darker side and take her toll It's just another way to die There can be no other reason why You know we should have seen it coming Consequences we cannot deny will be revealed in time Glaciers melt as we pollute the sky A sign of devastation coming We don’t need another way to die Can we repent in time?  [Pre-Chorus] The Time bomb is ticking and no one is listening Our future is fading Is there any hope we’ll survive?  [Chorus] Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?  [Verse 2] Greed and hunger led to our demise A path I can’t believe we followed Black agenda’s rooted in a lie Will we repent in time? Species fall before our very eyes A world that they cannot survive in left them with another way to die Are we dead inside?  [Pre-Chorus] The Time bomb is ticking and no one is listening Our future is fading Is there any hope we’ll survive?  [Chorus] x2 Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?  Still, we ravage the world that we love And the millions cry out to be saved Our endless maniacal appetite Left us with another way to die It's just another way to die Can we repent in time?  [Outro] Can we repent in time? It's just another way to die Can we repent in time?","[{'provider': 'youtube', 'start': 0, 'type': 'video', 'url': 'http://www.youtube.com/watch?v=HwELajFteTo'}]",17,2010-06-14,Another Way To Die,https://genius.com/Disturbed-another-way-to-die-lyrics,"[{'api_path': '/artists/71550', 'header_image_url': 'https://images.genius.com/9563ffa6cae05ff623ef81255662a7a3.500x415x1.jpg', 'id': 71550, 'image_url': 'https://images.genius.com/9563ffa6cae05ff623ef81255662a7a3.500x415x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'David Draiman', 'url': 'https://genius.com/artists/David-draiman'}, {'api_path': '/artists/177599', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 177599, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Mike Wengren', 'url': 'https://genius.com/artists/Mike-wengren'}, {'api_path': '/artists/177598', 'header_image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'id': 177598, 'image_url': 'https://assets.genius.com/images/default_avatar_300.png?1557325849', 'is_meme_verified': False, 'is_verified': False, 'name': 'Dan Donegan', 'url': 'https://genius.com/artists/Dan-donegan'}]",2010.0
