,Artist,Song Title,Lyrics,Year,word_count
10,Incubus,Love Hurts, tonight we drink to youth and holding fast to truth do not want to lose what i had as a boy my heart still has a beat but love is now a feat as common as a cold day in la  sometimes when im alone  i wonder is there a spell that i am under keeping me from seeing the real thing  love hurts but sometimes it is a good hurt and it feels like im alive love sings when it transcends the bad things have a heart and try me because without love  i will not survive  im fettered and abused stand naked and accused should i surface this oneman submarine i only want the truth so tonight  we drink to youth i will never lose what i had as a boy  sometimes when im alone  i wonder is there a spell that i am under keeping me from seeing the real thing  love hurts but sometimes it is a good hurt and it feels like im alive love sings when it transcends the bad things have a heart and try me because without love  i will not survive without love  i will not survive  love hurts but sometimes it is a good hurt and it feels like im alive love sings when it transcends the bad things have a heart and try me because without love  i will not survive  love hurts  oh oh  love hurts without love i will not survive love hurts  oh  love hurts without love i will not survive,2009.0,255
11,Mudvayne,Do What You Do,lips bleed from the rings all these little bruises the little things that provoke the segregation lead the separation cage and clip the wings little noises the little screams that stop the operation conscious amputation  just do what you do what you do what you did to me now im stuck in between a rock and nowhere with nothing with no one just do what you do what you do what you have done to me draw the chalk line around the scene  it is over now it is all over  broken heart that is lost its beat a little boy  that softly weeps overwhelmed with emotion views burns through explosion lost the forest through the trees little whispers  the little dreams that sparked the recollection constant suffocation  just do what you do what you do what you did to me now im stuck in between a rock and nowhere with nothing with no one just do what you do what you do what you have done to me draw the chalk line around the scene  it is over now it is all over  i can feel my life is changing changing i can feel my heart is jaded jaded left the sticks  left the stones words do not hurt  mend the bones i can feel my life is changing  solo  just do what you do what you do what you did to me now im stuck in between a rock and nowhere with nothing with no one just do what you do what you do what you have done to me draw the chalk line around the scene  it is over now it is all over  erase the past and leave the pain cleanse the wounds and forget the name lost the will  ran far away so it is all over spread the ash and fill the grave lost the tongue and make my way do what you do and go away now it is all over,2009.0,328
12,Cage The Elephant,Ain't No Rest For The Wicked, i was walking down the street when out the corner of my eye i saw a pretty little thing approaching me she said  i never seen a man  who looks so all alone oh  could you use a little company if you pay the right price  your evening will be nice and you can go and send me on my way i said  you are such a sweet young thing  why you do this to yourself she looked at me and this is what she said  oh there are not no rest for the wicked money do not grow on trees i got bills to pay  i got mouths to feed there are not nothing in this world for free oh no  i cannot slow down  i cannot hold back though you know  i wish i could oh no there are not no rest for the wicked until we close our eyes for good  not even 15 minutes later im still walking down the street when i saw the shadow of a man creep out out of sight and then he swept up from behind  he put a gun up to my head he made it clear he was not looking for a fight he said  give me all you have got  i want your money  not your life but if you try to make a move i will not think twice i told him  you can have my cash  but first you know i got to ask what made you want to live this kind of life he said  there are not no rest for the wicked money do not grow on trees i got bills to pay  i got mouths to feed there are not nothing in this world for free oh no  i cannot slow down  i cannot hold back though you know  i wish i could oh no there are not no rest for the wicked until we close our eyes for good  well now a couple hours past and i was sitting in my house the day was winding down and coming to an end and so i turned on the tv and flipped it over to the news and what i saw i almost could not comprehend i saw a preacher man in cuffs  he would taken money from the church he would stuffed his bank account with righteous dollar bills but even still i cannot say much because i know we are all the same oh yes  we all seek out to satisfy those thrills  you know there are not no rest for the wicked money do not grow on trees we got bills to pay  we got mouths to feed there are not nothing in this world for free oh no we cannot slow down  we cannot hold back though you know we wish we could oh no there are not no rest for the wicked until we close our eyes for good,2009.0,491
13,Chevelle,Jars, hold onto chance lest we bleed ourselves then save for the pets they are the loneliest  put into jars we will save this earth put into jars we will save this earth  we cannot both become the same pawn that is made to fall oil that tastes like blood steals the summer scent from me to you  you are stabbing me through you you are stabbing you through him and betting most of this world we will add enough of the world  steal from yourselves it never felt so good and feed from their hands confuse by opposites  put into jars we will save this earth put into jars keep saving the earth  we cannot both become the same pawn that is made to fall oil that tastes like blood steals the summer scent from me to you  you are stabbing me through you you are stabbing you through him and betting most of this world we will add enough of the world  this world we will add enough of the world feeling manic for a day depends on the trends depends on the surface if the sun never sets  we cannot both become the same pawn that is made to fall oil that tastes like blood steals the summer scent from me to you  you are stabbing me through you you are stabbing you through him and betting most of this world we will add enough of the world  it is the main thing you shout til the bitter end into jars,2009.0,253
14,The Offspring,"You're Gonna Go Far, Kid", show me how to lie you are getting better all the time and turning all against the one is an art that is hard to teach  another clever word sets off an unsuspecting herd and as you step back into line a mob jumps to their feet  now dance  fucker  dance man  he never had a chance and no one even knew it was really only you  and now you steal away take him out today nice work you did you are going to go far  kid  with a thousand lies and a good disguise hit  them right between the eyes hit  them right between the eyes when you walk away  nothing more to say see the lightning in your eyes see  them running for their lives  slowly out of line and drifting closer in your sight so play it out  im wideawake it is a scene about me  there is something in your way and now someone is going to pay and if you cannot get what you want well  it is all because of me  now dance  fucker  dance man  i never had a chance and no one even knew it was really only you  and now you will lead the way show the light of day nice work you did you are going to go far  kid  trust decieved  with a thousand lies and a good disguise hit  them right between the eyes hit  them right between the eyes when you walk away  nothing more to say see the lightning in your eyes see  them running for their lives  now dance  fucker  dance he never had a chance and no one even knew it was really only you so dance  fucker  dance i never had a chance it was really only you  with a thousand lies and a good disguise hit  them right between the eyes hit  them right between the eyes when you walk away  nothing more to say see the lightning in your eyes see  them running for their lives  clever alibis  lord of the flies hit  them right between the eyes hit  them right between the eyes when you walk away nothing more to say see the lightning in your eyes see  them running for their lives,2009.0,373
15,Pearl Jam,The Fixer, when somethings dark  let me she would a little light on it when somethings cold  let me put a little fire on it if somethings old  i want to put a bit of shine on it when somethings gone  i want to fight to get it back again  yeah  fight to get it back again yeah  when somethings broke  i want to put a bit of fixing on it when somethings bored  i want to put a little exciting on it if somethings low  i want to put a little high on it when somethings lost  i want to fight to get it back again  yeah  fight to get it back again yeah  when signals cross  i want to put a little straight on it if there is no love  i want to try to love again  i will say your prayers  i will take your side i will find us a way to make light i will dig your grave  we will dance and sing what is saved could be one last lifetime  yeah  fight to get it back again yeah  fight to get it back again yeah  fight to get it back again yeah,2009.0,196
16,Seether,Breakdown, the sun is gone and the flowers rot words are spaces between us and i should have been drowned in the rivers i found of token lost and i should have been down when you made me insecure  so break me down if it makes you feel right and hate me now if it keeps you all right oh  you can break me down if it takes all your might because im so much more than meets the eye  and im the one you can never trust because wounds are ways to reveal us and yeah  i could have tried and devoted my life to both of us but what a waste of my time when the world we have is yours  so break me down if it makes you feel right and hate me now if it keeps you all right oh  you can break me down if it takes all your might because im so much more than all your lies  hate me  break me down so break me down  down so break me down  so break me down if it makes you feel right and hate me now if it keeps you all right oh  you cannot break me down if it takes all your might because im so much more than meets the eye,2009.0,218
17,Alice In Chains,Check My Brain, so i found myself in the sun  oh yeah a hell of a place to end a run  oh yeah  california  im fine somebody check my brain californias all right somebody check my brain check my brain  i walk these streets  i creep and i fall  oh yeah when she sang i answered the call  oh yeah  california  im fine somebody check my brain californias all right somebody check my brain aah tears have filled my bones aah years expended gone  i hung my guns and put em away  oh yeah the trick of the trade  and by the way  oh yeah  california  im fine somebody check my brain californias all right somebody check my brain aah tears have filled my bones aah years expended gone  aah tears have filled my bones aah years expended gone aah tears have filled my bones aah years expended gone check my brain check my brain check my brain,2009.0,155
18,MGMT,Kids, you were a child crawling on your knees toward it making momma so proud but your voice is too loud we like to watch you laughing you pick the insects off plants no time to think of consequences  control yourself take only what you need from it a family of trees wanting to be haunted control yourself take only what you need from it a family of trees wanting to be haunted  the water is warm but it is sending me shivers a baby is born crying out for attention the memories fade like looking through a fogged mirror decision to decisions are made and not bought but i thought this would not hurt a lot i guess not  control yourself take only what you need from it a family of trees wanting to be haunted control yourself take only what you need from it a family of trees wanting to be haunted  control yourself take only what you need from it a family of trees wanting to be haunted control yourself take only what you need from it a family of trees wanting to be haunted control yourself take only what you need from it a family of trees wanting to be haunted control yourself take only what you need from it a family of trees,2009.0,217
19,Disturbed,Indestructible,  another mission  the powers have called me away another time to carry the colours again my motivation  an oath ive sworn to defend to win the honour of coming back home again no explanation will matter after we begin unlock the dark destroyer that is buried within my true vocation and now my unfortunate friend you will discover a war you are unable to win  i will have you know that ive become  indestructible determination that is incorruptible from the other side a terror to behold annihilation will be unavoidable every broken enemy will know that their opponent had to be invincible take a last look around while you are alive im an indestructible master of war  another reason  another because for me to fight another fuse uncovered now  for me to light my dedication to all that ive sworn to protect i carry out my orders without a regret a declaration embedded deep under my skin a permanent reminder of how it began no hesitation when i am commanded to strike you need to know that you are in for the fight of your life  you will be shown how ive become  indestructible determination that is incorruptible from the other side a terror to behold annihilation will be unavoidable every broken enemy will know that their opponent had to be invincible take a last look around while you are alive im an indestructible master of war  indestructible determination that is incorruptible from the other side a terror to behold annihilation will be unavoidable every broken enemy will know that their opponent had to be invincible take a last look around while you are alive im an indestructible  indestructible  indestructible determination that is incorruptible from the other side a terror to behold annihilation will be unavoidable every broken enemy will know that their opponent had to be invincible take a last look around while you are alive im an indestructible master of war  ,2009.0,323
